	id	acousticness	danceability	duration_ms	energy	instrumentalness	key	liveness	loudness	speechiness	tempo	valence	genre
766	Stone Dead Forever	0.00054	0.424	296413	0.915	0.000922	0	0.295	-7.154	0.0545	105.908	0.504	metal
767	Orgasmatron	0.0263	0.415	323800	0.985	0.0964	3	0.37	-6.32	0.0473	127.834	0.135	metal
768	Victory Or Die	0.00156	0.477	188500	0.991	0.0924	10	0.29100000000000004	-5.856	0.0778	104.03	0.365	metal
769	Back at the Funny Farm	7.38e-05	0.256	251000	0.992	0.0485	1	0.399	-5.032	0.181	130.429	0.16699999999999998	metal
770	Train Kept A-Rollin'	8.53e-05	0.311	196480	0.809	0.00446	4	0.192	-9.711	0.0434	91.847	0.451	metal
771	Eat the Rich	0.00504	0.257	274413	0.983	0.0069700000000000005	1	0.315	-4.664	0.0651	152.03799999999995	0.468	metal
772	Last Rites / Loved to Deth - Remastered	3.43e-05	0.226	292107	0.995	0.893	9	0.398	-4.346	0.457	142.05200000000005	0.0731	metal
773	Killing Is My Business...And Business Is Good! - Remastered	2.54e-05	0.275	184467	0.996	0.249	1	0.0972	-3.506	0.338	121.079	0.124	metal
774	The Skull Beneath the Skin - Remastered	2.79e-05	0.273	223613	0.997	0.188	11	0.327	-3.238	0.235	136.649	0.0859	metal
775	Rattlehead - Remastered	4.71e-05	0.163	219987	0.993	0.34600000000000003	2	0.103	-3.367	0.32	181.96	0.21	metal
776	Chosen Ones - Remastered	0.00014	0.207	174200	0.995	0.635	2	0.332	-3.198	0.329	93.607	0.0582	metal
777	Looking Down the Cross - Remastered	9.36e-05	0.273	299347	0.995	0.264	11	0.124	-3.627	0.281	122.519	0.0515	metal
778	Mechanix - Remastered	8.599999999999999e-06	0.29100000000000004	263933	0.998	0.716	9	0.34600000000000003	-3.618	0.299	128.887	0.0378	metal
779	These Boots - Remastered	0.000102	0.225	216013	0.996	0.00984	11	0.049	-3.18	0.311	158.999	0.0724	metal
780	Last Rites / Loved to Deth - Live 1987 London, UK	2.72e-05	0.139	288427	0.997	0.856	1	0.408	-5.057	0.209	141.689	0.0384	metal
781	Killing Is My Business...And Business Is Good! - Live 1986 Denver, CO	0.0178	0.265	247773	0.926	0.000104	8	0.54	-6.0939999999999985	0.2	68.449	0.18	metal
782	The Skull Beneath the Skin - Live 1990 London, UK	9.86e-05	0.139	215613	0.972	0.6609999999999999	6	0.337	-7.322	0.111	142.27100000000004	0.0697	metal
783	Rattlehead - Live 1987 Bochum, Germany	0.000606	0.17	244947	0.946	0.0542	11	0.479	-4.166	0.0766	166.52200000000005	0.459	metal
784	Chosen Ones - Live 1986 Denver, CO	0.0239	0.154	229413	0.962	0.0016699999999999998	8	0.42	-4.657	0.489	185.985	0.16899999999999998	metal
785	Looking Down the Cross - Live 1986 Denver, CO	0.000224	0.166	279920	0.969	0.00283	8	0.39	-6.621	0.172	142.69	0.15	metal
786	Mechanix - Live 1986 Denver, CO	0.000321	0.14400000000000002	226120	0.956	0.0363	11	0.383	-6.184	0.0963	140.2	0.127	metal
787	Last Rites / Loved to Deth (Demo) - Remastered	0.0004280000000000001	0.128	255800	0.908	0.448	3	0.212	-7.135	0.095	148.126	0.0682	metal
788	The Skull Beneath the Skin (Demo) - Remastered	0.0487	0.16699999999999998	192773	0.875	0.846	9	0.0765	-8.128	0.0877	142.063	0.28600000000000003	metal
789	Mechanix (Demo) - Remastered	5.11e-06	0.16899999999999998	240347	0.772	0.85	5	0.343	-7.362	0.0728	123.476	0.0963	metal
790	Symphony Of Destruction	0.000805	0.61	246733	0.8909999999999999	0.0928	4	0.0657	-5.452000000000001	0.0587	139.903	0.51	metal
791	Holy Wars...The Punishment Due - Remastered 2004	0.00177	0.325	392600	0.985	0.107	11	0.35100000000000003	-3.941	0.151	125.307	0.221	metal
792	Trust - Remastered 2004 / Remixed	0.00365	0.578	311533	0.775	0.102	5	0.196	-5.388	0.0509	132.03799999999998	0.306	metal
793	A Tout Le Monde - Remastered 2004	0.000393	0.272	262133	0.747	4.03e-05	5	0.16	-4.86	0.0401	202.777	0.255	metal
794	In My Darkest Hour - Remastered 2004	8.66e-05	0.322	386600	0.978	0.266	9	0.136	-5.4460000000000015	0.131	112.878	0.271	metal
795	Tornado Of Souls - Remastered 2004	0.00203	0.519	319267	0.982	0.00055	7	0.0971	-3.547	0.108	97.745	0.361	metal
796	Sweating Bullets - Remastered 2004	0.000319	0.325	327040	0.856	0.00708	4	0.257	-6.5470000000000015	0.188	69.955	0.652	metal
797	Peace Sells - Remastered	0.000676	0.303	242533	0.922	0.26	11	0.561	-4.376	0.138	138.393	0.695	metal
798	Hangar 18 - Remastered 2004	5.870000000000001e-05	0.248	311200	0.988	0.84	2	0.32299999999999995	-3.74	0.14400000000000002	115.298	0.149	metal
799	Dystopia	6.42e-05	0.275	299107	0.99	0.0128	10	0.0878	-2.904	0.469	109.866	0.146	metal
800	Angry Again	2.39e-05	0.6890000000000001	227973	0.7190000000000001	0.679	3	0.314	-8.642999999999999	0.0304	127.982	0.959	metal
801	She-Wolf - Remastered 2004 / Remixed	2.43e-05	0.39	217800	0.916	0.000687	10	0.14300000000000002	-4.748	0.0475	172.018	0.5720000000000001	metal
802	Take No Prisoners - Remastered 2004	0.000164	0.308	207067	0.97	0.0139	7	0.45	-4.3889999999999985	0.11	157.046	0.385	metal
803	Train Of Consequences - Remastered 2004	0.000116	0.555	211227	0.946	0.00119	8	0.0477	-3.922	0.158	114.755	0.568	metal
804	Skin O' My Teeth - Remastered	2.54e-05	0.55	195827	0.943	0.007809999999999998	7	0.0728	-6.242000000000001	0.06	98.585	0.596	metal
805	Public Enemy No. 1	3.87e-06	0.421	255333	0.977	0.008759999999999999	7	0.0213	-2.693	0.107	158.02100000000004	0.333	metal
806	Rust In Peace...Polaris - Remastered 2004	0.000612	0.259	344067	0.965	3.35e-05	7	0.0787	-4.335	0.16	168.641	0.392	metal
807	Addicted To Chaos	8.26e-05	0.556	327600	0.8640000000000001	0.00348	1	0.075	-5.007	0.0348	97.168	0.428	metal
808	Countdown To Extinction	0.000103	0.48	259227	0.8590000000000001	0.34700000000000003	9	0.0697	-6.058	0.0409	128.964	0.311	metal
809	Five Magics - Remastered 2004	0.00028700000000000004	0.26	339693	0.964	0.0595	9	0.272	-4.6389999999999985	0.134	175.207	0.198	metal
810	Wake Up Dead - Remastered	2.67e-05	0.279	217333	0.912	0.737	4	0.0672	-4.6080000000000005	0.126	164.185	0.479	metal
811	Blackmail the Universe	2.32e-05	0.412	273093	0.957	0.126	1	0.114	-5.465	0.0713	175.729	0.335	metal
812	Reckoning Day - Remastered 2004	3.82e-05	0.5670000000000001	274533	0.94	0.0888	8	0.15	-5.364	0.0716	120.321	0.431	metal
813	Foreclosure Of A Dream - Remastered	0.00159	0.396	262427	0.903	0.0176	0	0.0999	-4.796	0.0389	136.751	0.294	metal
814	Paranoid	0.000359	0.355	152600	0.973	0.154	4	0.142	-7.004	0.071	187.385	0.628	metal
815	Dialectic Chaos	2.8e-06	0.16	145813	0.982	0.847	0	0.0996	-2.715	0.0761	83.458	0.21600000000000005	metal
816	Fatal Illusion	7.58e-05	0.34	255893	0.983	0.00596	9	0.241	-3.582	0.392	123.823	0.14300000000000002	metal
817	Promises	0.00236	0.371	268707	0.696	3.12e-06	7	0.0857	-5.516	0.0294	75.723	0.209	metal
818	Architecture Of Aggression	0.000237	0.537	219800	0.97	0.679	11	0.165	-6.996	0.0585	95.337	0.502	metal
819	Conquer Or Die	0.007790000000000002	0.338	213480	0.753	0.8390000000000001	2	0.111	-6.002000000000002	0.0492	132.725	0.158	metal
820	The Killing Road	7.77e-05	0.466	231200	0.908	0.0516	1	0.1	-4.938	0.0988	157.843	0.364	metal
821	Return to Hangar	3.86e-06	0.368	239413	0.968	0.757	4	0.14800000000000002	-4.524	0.11	179.322	0.481	metal
822	The Threat Is Real	5.11e-05	0.396	262027	0.988	0.0115	2	0.278	-3.791	0.424	154.993	0.107	metal
823	Youthanasia	0.000161	0.495	247907	0.836	0.000164	8	0.259	-4.813	0.0458	134.173	0.534	metal
824	Devils Island - Remastered	0.000177	0.232	305200	0.963	0.0049	8	0.17600000000000002	-4.2360000000000015	0.313	170.94299999999996	0.361	metal
825	Kill The King	2.68e-05	0.5379999999999999	222840	0.955	0.812	0	0.119	-4.19	0.101	145.376	0.205	metal
826	Post American World	0.0005809999999999999	0.516	265600	0.956	0.113	9	0.0575	-3.721	0.12	144.92700000000005	0.34700000000000003	metal
827	Sudden Death	1.14e-05	0.426	309307	0.947	0.0144	0	0.093	-4.0760000000000005	0.225	160.023	0.336	metal
828	High Speed Dirt - Remastered/2012	5.94e-05	0.575	251507	0.959	0.234	2	0.0645	-4.478	0.0658	92.44	0.794	metal
829	Poisonous Shadows	0.000195	0.236	362787	0.888	0.0315	2	0.162	-4.449	0.0565	135.862	0.157	metal
830	The Conjuring - Remastered	5.78e-05	0.258	302333	0.946	0.00731	4	0.17600000000000002	-4.171	0.142	161.373	0.464	metal
831	99 Ways To Die	0.000165	0.483	238947	0.972	0.0298	11	0.0599	-6.399	0.139	161.575	0.31	metal
832	Dread and the Fugitive Mind	4.34e-05	0.51	265133	0.83	0.21	4	0.0806	-4.586	0.0863	164.175	0.483	metal
833	Almost Honest - Remastered 2004 / Remixed	0.0006219999999999999	0.523	248560	0.94	0.00043	9	0.332	-4.71	0.0895	134.113	0.591	metal
834	Come Home	2.83e-05	0.459	309133	0.942	0.619	1	0.079	-7.574	0.0402	101.768	0.833	rock
835	Teenage Angst	1.15e-05	0.489	162467	0.923	0.256	5	0.221	-7.721	0.0308	120.015	0.755	rock
836	Bionic	0.00205	0.606	300200	0.796	0.835	8	0.108	-8.056	0.0277	124.183	0.594	rock
837	36 Degrees	2.08e-05	0.357	185160	0.909	0.0281	1	0.216	-8.5	0.0513	169.553	0.414	rock
838	Hang on to Your IQ	0.000917	0.489	313173	0.884	0.0656	10	0.142	-9.021	0.0297	81.371	0.742	rock
839	Nancy Boy	0.000181	0.391	210933	0.958	0.000899	10	0.122	-5.494	0.0832	89.88	0.326	rock
840	I Know	0.000918	0.348	284000	0.625	0.0811	8	0.122	-8.084	0.0243	97.035	0.148	rock
841	Bruise Pristine	4.3e-05	0.355	215760	0.901	0.578	1	0.295	-7.652	0.0348	176.7	0.692	rock
842	Lady of the Flowers	0.000602	0.423	287507	0.621	0.318	6	0.107	-8.945	0.029	141.493	0.141	rock
843	Swallow	0.0186	0.325	294293	0.603	0.782	8	0.182	-9.848	0.0377	162.217	0.181	rock
844	H. K. Farewell - Hidden Track	0.765	0.557	453053	0.617	0.868	5	0.0887	-11.396	0.0322	98.469	0.578	rock
845	Pure Morning	0.0372	0.387	254760	0.898	4.04e-05	8	0.11	-6.835	0.0675	81.354	0.202	rock
846	Brick Shithouse	0.000585	0.354	198173	0.954	0.8	4	0.362	-7.061	0.0987	104.634	0.261	rock
847	You Don't Care About Us	7.71e-05	0.273	238400	0.933	0.763	10	0.232	-6.599	0.0988	85.194	0.314	rock
848	Ask for Answers	0.0989	0.335	319667	0.342	0.695	8	0.333	-14.15	0.032	111.371	0.077	rock
849	Without You I'm Nothing	0.000294	0.255	248893	0.607	0.06	10	0.134	-7.722	0.0343	133.431	0.189	rock
850	Allergic (To Thoughts of Mother Earth)	1.62e-05	0.311	229173	0.92	0.855	8	0.0897	-6.771	0.0531	118.194	0.0713	rock
851	The Crawl	0.739	0.674	179293	0.356	0.482	3	0.115	-14.694	0.0306	130.735	0.165	rock
852	Every You Every Me	2.7e-05	0.478	213800	0.923	0.719	10	0.325	-7.547	0.0569	133.134	0.165	rock
853	My Sweet Prince	0.513	0.465	345267	0.225	0.0431	10	0.101	-16.118	0.0355	121.896	0.0419	rock
854	Summer's Gone	0.275	0.217	185533	0.729	0.285	8	0.107	-9.223	0.0433	121.884	0.159	rock
855	Scared of Girls	9.08e-06	0.39	181040	0.815	0.943	10	0.108	-7.879	0.121	123.7	0.474	rock
856	Burger Queen	0.493	0.566	373460	0.325	0.913	8	0.113	-15.07	0.0322	84.287	0.0393	rock
857	Evil Dildo - Hidden Track	0.00236	0.277	477664	0.867	0.754	8	0.639	-9.117	0.088	115.292	0.0813	rock
858	Taste in Men	0.00316	0.391	255000	0.887	0.0556	0	0.0882	-4.612	0.0597	101.969	0.32	rock
859	Days Before You Came	2.04e-05	0.418	153027	0.971	0.77	10	0.294	-3.664	0.0811	90.109	0.424	rock
860	Special K	0.000227	0.397	232307	0.942	0.24	1	0.14	-2.53	0.0869	158.99	0.356	rock
861	Spite and Malice	3.25e-06	0.595	217467	0.9	0.262	1	0.124	-4.564	0.0299	107.044	0.396	rock
862	Passive Aggressive	0.00367	0.394	324027	0.51	0.378	6	0.112	-8.407	0.0335	108.275	0.1	rock
863	Black-Eyed	0.00208	0.474	228107	0.879	0.0352	11	0.135	-4.9	0.0469	123.864	0.385	rock
864	Blue American	0.209	0.424	211227	0.501	0.0077	10	0.1	-13.506	0.0474	110.641	0.112	rock
865	Slave to the Wage	0.00031	0.513	246907	0.962	0.686	10	0.245	-5.93	0.0752	142.211	0.488	rock
866	Commercial for Levi	0.283	0.81	140760	0.661	7.29e-05	10	0.132	-3.729	0.0325	102.058	0.641	rock
867	Haemoglobin	2.1e-06	0.449	226107	0.89	0.931	6	0.12	-5.965	0.0462	142.006	0.523	rock
868	Narcoleptic	0.134	0.513	262333	0.389	0.000414	8	0.106	-10.416	0.0265	98.759	0.166	rock
869	Peeping Tom	0.583	0.363	316531	0.529	0.000987	6	0.0865	-7.239	0.0272	169.425	0.108	rock
870	Black Market Blood - Hidden Track	0.194	0.282	237769	0.438	0.00954	8	0.107	-10.055	0.0497	176.069	0.153	rock
871	Bulletproof Cupid	5.95e-06	0.33	142533	0.725	0.697	3	0.0743	-6.946	0.0431	103.933	0.427	rock
872	English Summer Rain	0.00418	0.573	241467	0.909	0.00333	10	0.0825	-7.894	0.0516	108.27	0.517	rock
873	This Picture	8.58e-05	0.462	214907	0.91	0.0469	1	0.0863	-7.198	0.0359	155.69	0.616	rock
874	Sleeping With Ghosts	0.00687	0.43	278787	0.594	0.365	10	0.369	-10.987	0.0298	164.557	0.328	rock
875	Something Rotten	0.00796	0.528	328493	0.634	0.0516	8	0.0746	-9.067	0.032	128.665	0.154	rock
876	Plasticine	1.46e-06	0.307	206720	0.861	0.408	9	0.0494	-3.311	0.0435	152.334	0.321	rock
877	Special Needs	0.00082	0.301	315987	0.571	0.8	8	0.0851	-10.152	0.0332	178.084	0.0412	rock
878	I'll Be Yours	0.143	0.61	212373	0.577	0.203	3	0.171	-14.286	0.0292	102.071	0.766	rock
879	Second Sight	0.000374	0.433	169947	0.9	0.0398	1	0.0946	-6.056	0.0828	172.904	0.46	rock
880	Protect Me from What I Want	1.64e-05	0.52	195680	0.749	2.51e-05	4	0.0711	-6.21	0.0277	112.388	0.362	rock
881	Centrefolds	0.433	0.446	300707	0.171	0.0201	8	0.0882	-17.219	0.0311	126.463	0.124	rock
882	Meds	0.0975	0.512	175387	0.909	0.0002	4	0.0943	-4.643	0.104	155.139	0.283	rock
883	Infra-Red	0.000297	0.447	195653	0.817	1.23e-06	1	0.277	-5.963	0.0704	172.01	0.355	rock
884	Drag	0.00154	0.477	201120	0.853	2.9e-06	8	0.202	-5.155	0.0995	152.002	0.403	rock
885	Space Monkey	0.0257	0.602	231267	0.72	0.00205	5	0.0855	-5.617	0.0549	131.133	0.356	rock
886	Follow the Cops Back Home	0.193	0.504	279560	0.465	0.000332	8	0.105	-7.827	0.0285	113.844	0.234	rock
887	Post Blue	0.000241	0.596	191973	0.9	0.00434	8	0.0458	-4.442	0.0306	97.136	0.822	rock
888	Because I Want You	7.29e-06	0.409	202253	0.935	0.0267	5	0.398	-4.361	0.0489	151.961	0.488	rock
889	Blind	0.00471	0.564	241440	0.788	9.68e-05	0	0.108	-5.87	0.0603	83.149	0.648	rock
890	Pierrot the Clown	0.108	0.434	262333	0.53	0.265	9	0.108	-9.501	0.0446	169.306	0.416	rock
891	Broken Promise	0.0018	0.316	252813	0.835	0.00235	11	0.0772	-7.007	0.131	109.578	0.149	rock
892	One of a Kind	0.000416	0.608	200587	0.915	0.224	10	0.116	-5.738	0.137	96.509	0.579	rock
893	In the Cold Light of Morning	0.738	0.471	232707	0.456	0.481	4	0.346	-10.395	0.0331	130.612	0.161	rock
894	Song to Say Goodbye	0.00613	0.436	216187	0.887	0.00509	11	0.0993	-4.748	0.0799	165.033	0.437	rock
895	Kitty Litter	0.000131	0.4	227733	0.948	0.000816	7	0.0906	-4.597	0.0533	155.001	0.182	rock
896	Ashtray Heart	9.7e-05	0.503	211747	0.895	3.65e-05	5	0.101	-5.555	0.0375	138.409	0.329	rock
897	Battle for the Sun	0.000428	0.338	332293	0.621	0.295	2	0.228	-6.371	0.0381	152.413	0.505	rock
898	For What It's Worth	0.000697	0.57	167053	0.757	0.101	10	0.58	-7.553	0.0315	142.313	0.553	rock
899	Devil in the Details	0.000195	0.504	267827	0.698	0.000234	0	0.0788	-6.815	0.032	142.506	0.228	rock
900	Bright Lights	4.12e-05	0.49	211507	0.722	1.72e-05	0	0.0869	-5.345	0.0427	124.994	0.333	rock
901	Speak in Tongues	0.00911	0.645	244920	0.665	0.077	8	0.106	-8.548	0.0435	140.445	0.125	rock
902	The Never-Ending Why	1.49e-05	0.524	202573	0.911	0.00443	3	0.365	-5.738	0.0396	137.36	0.6	rock
903	Julien	3.92e-05	0.598	282507	0.613	0.0695	4	0.134	-6.928	0.0356	115.332	0.29	rock
904	Happy You're Gone	0.00281	0.555	230893	0.564	0.0071	0	0.114	-8.159	0.0306	136.376	0.27	rock
905	Breathe Underwater	4.88e-06	0.434	223880	0.872	0.257	2	0.0426	-5.678	0.0571	155.445	0.303	rock
906	Come Undone	0.000146	0.361	275760	0.659	0.179	0	0.098	-8.071	0.0405	168.614	0.0955	rock
907	Kings of Medicine	0.0309	0.521	253853	0.51	0.00783	11	0.129	-6.781	0.0296	183.767	0.211	rock
908	Loud Like Love	0.000171	0.403	291720	0.94	5.32e-06	8	0.121	-4.761	0.0605	76.503	0.356	rock
909	Scene Of The Crime	0.00406	0.635	207653	0.888	0.0	9	0.259	-6.447	0.0525	133.074	0.177	rock
910	Too Many Friends	0.00128	0.574	214640	0.786	0.0	7	0.328	-5.508	0.0415	110.083	0.3	rock
911	Hold On To Me	0.00485	0.54	294600	0.581	0.000388	10	0.188	-9.558	0.0274	91.977	0.349	rock
912	Rob The Bank	5.16e-05	0.576	216733	0.914	0.0	2	0.0613	-4.103	0.117	138.928	0.442	rock
913	A Million Little Pieces	0.00577	0.53	280733	0.855	0.0401	1	0.282	-6.554	0.0318	173.998	0.63	rock
914	Exit Wounds	0.00392	0.684	348080	0.608	0.00212	10	0.107	-6.256	0.0313	100.983	0.678	rock
915	Purify	0.000353	0.521	225893	0.951	5.67e-06	10	0.283	-3.878	0.138	142.997	0.422	rock
916	Begin The End	0.0149	0.514	359187	0.955	0.000199	8	0.115	-6.291	0.0587	151.921	0.503	rock
917	Bosco	0.0871	0.39	399480	0.499	8.04e-05	6	0.0917	-7.528	0.0279	175.906	0.169	rock
918	Where Is My Mind? - XFM Live Version	7.15e-05	0.37	224560	0.636	0.00806	5	0.349	-6.303	0.03	155.491	0.192	rock
919	Jesus' Son	9.42e-05	0.476	216801	0.878	0.000149	11	0.26	-4.618	0.059	134.089	0.485	rock
920	Autoluminescent	3.18e-05	0.359	219620	0.443	0.115	6	0.107	-8.313	0.0306	114.18	0.109	rock
921	Twenty Years - Live / Acoustic	0.551	0.49	262513	0.399	0.0	4	0.9	-8.873	0.0303	127.851	0.127	rock
922	Song #6	0.0166	0.423	267000	0.615	0.737	6	0.102	-8.432	0.0396	81.296	0.1	rock
923	Life's What You Make It	0.00052	0.464	318383	0.935	0.000532	1	0.352	-5.343	0.0879	93.976	0.334	rock
924	Seviyorsan İnanıyorsan	0.0752	0.307	242161	0.898	9.62e-06	2	0.0793	-5.163	0.0674	149.9	0.413	rock
925	Eyvallah	0.0378	0.345	289030	0.814	0.000771	7	0.421	-5.167	0.0445	141.123	0.366	rock
926	Deli	0.00145	0.567	184528	0.896	9.45e-06	8	0.253	-4.508	0.061	115.985	0.568	rock
927	Yürek	0.277	0.673	251354	0.719	9.56e-06	4	0.101	-7.299	0.0362	127.975	0.723	rock
928	Köpekler	0.0349	0.444	268183	0.833	5.04e-06	9	0.379	-4.8	0.0399	122.009	0.243	rock
929	Akıbet	0.361	0.375	227873	0.537	2.58e-05	5	0.101	-8.967	0.0295	140.111	0.181	rock
930	Saldır	0.00576	0.477	204844	0.889	0.0142	4	0.154	-4.126	0.068	110.808	0.571	rock
931	Kolay Değildir	0.642	0.224	310508	0.339	1.31e-06	2	0.0945	-9.893	0.0389	75.225	0.121	rock
932	Gönül İster	0.121	0.333	256327	0.717	0.0	5	0.209	-5.135	0.0379	116.546	0.131	rock
933	Gözleri Kanlı	0.112	0.235	362490	0.662	4.58e-05	0	0.0834	-5.969	0.0461	85.202	0.382	rock
934	Öyle Dertli	0.0103	0.561	301734	0.62	0.00928	2	0.474	-5.862	0.0273	95.024	0.477	rock
935	Melankoli	0.273	0.455	264500	0.393	0.000976	9	0.109	-10.501	0.0308	114.617	0.133	rock
936	Sınana Sınana	0.0282	0.495	379716	0.797	0.0376	8	0.0605	-7.378	0.0378	90.338	0.721	rock
937	Balık	0.00658	0.543	168600	0.726	0.0032	2	0.211	-4.502	0.0272	98.504	0.45	rock
938	Senin Marşın	0.109	0.549	227680	0.762	0.0	7	0.0639	-6.667	0.035	111.996	0.17	rock
939	Senden Daha Güzel	0.0298	0.775	239093	0.438	0.001	4	0.0415	-5.608	0.0333	88.718	0.643	rock
940	İyi de Bana Ne	0.0727	0.58	212467	0.547	0.0199	2	0.126	-9.076	0.0285	113.062	0.459	rock
941	Elleri Ellerime	0.0768	0.67	256213	0.64	0.0	7	0.0983	-8.233	0.042	116.037	0.609	rock
942	Paranoya	0.0224	0.508	250907	0.78	6.28e-06	7	0.123	-6.336	0.0461	111.953	0.219	rock
943	Vals	0.106	0.441	266160	0.381	0.00859	5	0.107	-9.951	0.0285	139.844	0.0916	rock
944	Kumbela	0.0012	0.604	292627	0.613	0.00861	1	0.174	-7.707	0.0283	92.067	0.0646	rock
945	Tövbe	0.0228	0.33	312773	0.538	0.0611	11	0.2	-7.17	0.0388	93.962	0.108	rock
946	Of	0.0483	0.22	343320	0.475	0.000115	2	0.0492	-9.367	0.0313	171.811	0.135	rock
947	Dibine Kadar	0.00207	0.437	228507	0.923	2.48e-06	4	0.107	-6.794	0.0509	141.645	0.131	rock
948	Sarhoş	0.203	0.637	259160	0.595	3.57e-05	4	0.0893	-7.331	0.0348	119.172	0.415	rock
949	Sor Bana Pişman mıyım	0.115	0.285	274720	0.687	0.0264	2	0.0669	-6.578	0.0503	177.2	0.55	rock
950	Hayvan	0.0024	0.455	219733	0.869	1.91e-06	9	0.184	-5.425	0.027	83.85	0.551	rock
951	Sevdim Desem	0.0031	0.649	230613	0.79	0.00063	11	0.229	-7.042	0.0351	97.004	0.412	rock
952	Yağmurun Sabahında	0.0239	0.45	244107	0.553	0.103	5	0.327	-6.835	0.0303	139.995	0.259	rock
953	Helal Olsun	0.0419	0.302	321867	0.634	0.000326	11	0.197	-6.059	0.0299	144.015	0.298	rock
954	Rezil	0.00528	0.603	361480	0.659	0.000376	4	0.136	-6.839	0.0375	90.017	0.329	rock
955	Bu Aşk Beni Yorar	0.0347	0.495	249307	0.403	0.0199	9	0.0844	-10.08	0.0329	115.857	0.0864	rock
956	Özgürlüğün Ülkesi	0.0748	0.395	213973	0.903	0.0	6	0.333	-3.151	0.0762	167.944	0.613	rock
957	Sayın Bayan	0.0144	0.446	146707	0.92	1.05e-06	7	0.122	-3.367	0.0573	153.938	0.711	rock
958	Yanıbaşımdan	0.655	0.498	284773	0.474	0.000245	7	0.0807	-6.18	0.0304	72.064	0.156	rock
959	Sen Ben	0.202	0.656	204187	0.669	0.0	4	0.131	-5.535	0.0296	109.996	0.335	rock
960	Melek	0.491	0.344	289760	0.519	0.000127	4	0.071	-4.828	0.0396	113.594	0.0729	rock
961	En Güzel Günüm Gecem	0.269	0.464	219813	0.883	0.0	1	0.273	-4.567	0.0825	155.139	0.329	rock
962	Yürekten	0.546	0.587	266987	0.56	0.000686	5	0.104	-5.031	0.0287	82.03	0.2	rock
963	Aman Aman	0.361	0.741	245067	0.441	0.0	4	0.275	-6.183	0.0303	106.021	0.676	rock
964	Sadece Koklayacaktım	0.538	0.43	299973	0.515	0.0	1	0.116	-5.258	0.0396	125.395	0.299	rock
965	Rüyanda Görsen İnanma	0.632	0.5	312987	0.506	4.8e-05	11	0.517	-8.105	0.0299	87.049	0.119	rock
966	Geçmiş Olsun	0.0275	0.452	315773	0.872	1.28e-06	4	0.321	-3.979	0.0496	107.871	0.326	rock
967	Bu Akşam	0.00865	0.475	175667	0.85	5.85e-05	11	0.315	-6.435	0.0405	149.969	0.597	rock
968	Her Şeyi Yak	0.459	0.627	270280	0.538	0.0	2	0.123	-6.79	0.0246	100.038	0.204	rock
969	Oje	0.154	0.724	260827	0.512	0.0	9	0.0813	-7.583	0.0272	110.013	0.718	rock
970	Kırmış Kalbini	0.0918	0.564	279120	0.472	0.0	4	0.158	-7.532	0.0244	84.055	0.338	rock
971	Masal	0.224	0.422	183733	0.788	0.0	2	0.0726	-4.867	0.0474	150.05	0.684	rock
972	Manası Yok	0.108	0.518	227973	0.478	0.0	6	0.207	-7.491	0.0338	89.787	0.191	rock
973	Belki Alışman Lazım	0.0111	0.481	212107	0.952	0.0	7	0.332	-5.169	0.0653	97.007	0.531	rock
974	Bal	0.114	0.445	313733	0.455	0.00452	11	0.174	-8.043	0.0261	100.016	0.232	rock
975	Ah	0.0279	0.566	293053	0.563	0.000638	0	0.209	-6.683	0.0243	80.015	0.355	rock
976	Elimdeki Saz Yeter Canıma	0.0668	0.434	271653	0.409	0.0	2	0.0903	-6.957	0.0346	168.271	0.161	rock
977	Haberin Yok Ölüyorum	0.415	0.515	361080	0.584	0.00254	9	0.308	-6.644	0.0366	128.024	0.341	rock
978	Bu Akşam - Akustik	0.0137	0.467	175040	0.838	1.06e-05	11	0.233	-6.362	0.0389	149.972	0.658	rock
979	Kırmış Kalbini - Uzun Versiyon	0.0146	0.298	438427	0.462	4.44e-06	4	0.171	-7.646	0.0268	168.121	0.302	rock
980	Bebek	0.387	0.6	235133	0.594	0.0	9	0.14	-7.979	0.0363	110.015	0.306	rock
981	Hatun	0.058	0.557	234173	0.725	0.0	11	0.0987	-4.752	0.0434	131.805	0.413	rock
982	Halimiz Duman	0.481	0.466	254760	0.662	0.0	2	0.123	-5.526	0.0306	125.907	0.0875	rock
983	Dağlar Bağlar	0.193	0.574	188667	0.873	0.00618	1	0.128	-6.855	0.0382	110.023	0.569	rock
984	Hayatı Yaşa	0.145	0.516	236467	0.925	0.0	9	0.173	-5.185	0.046	107.984	0.468	rock
985	Yalnızlık Paylaşılmaz	0.141	0.268	298373	0.804	0.0	11	0.156	-4.727	0.0729	184.159	0.316	rock
986	Dönek	0.129	0.695	216133	0.429	0.000109	2	0.0899	-7.739	0.0365	102.95	0.713	rock
987	İstanbul	0.0382	0.579	98200	0.927	0.000335	0	0.337	-5.068	0.0691	114.863	0.686	rock
988	Senin Gibi	0.15	0.447	287027	0.714	0.000262	7	0.105	-7.478	0.0362	92.719	0.345	rock
989	Gurbet - Live At Bostancı Gösteri Merkezi, İstanbul / 2003	0.468	0.614	194600	0.789	0.124	8	0.716	-7.764	0.0324	97.474	0.865	rock
990	Bana El Salla	0.417	0.651	243250	0.688	1.94e-06	6	0.0643	-9.21	0.0327	111.879	0.378	rock
